ID,QC_LEVEL,INFO_SOURCE,CONTACT,EMAIL,ORGANISATION,ORGANISATION_ID,NO_REVISION,PERSON_REVISION,TIME_EVENT,TIME_CREATION,TIME_LAST_REVISION,TIME_ACCURACY,COUNTRY,STATE,PLACE,PLACE_LOCAL_LANGUAGE,DETAILED_LOCATION,NEAREST_CITY,LATITUDE,LONGITUDE,PLACE_ACCURACY,OROGRAPHY,SURFACE_INITIAL_LOCATION,SURFACE_CROSSED,TYPE_EVENT,NO_OBJECTS,MAX_HAIL_DIAMETER,MAX_HAILSTONE_WEIGHT,AVERAGE_HAIL_DIAMETER,THICKNESS_HAIL_LAYER,HAILSTONE,F_SCALE,F_SCALE_METHOD,DI_OF_MAX_IF,DOD_OF_MAX_IF,T_SCALE,RATING_BASIS,WIND_SPEED,TEN_MIN_WIND_SPEED,FUNNEL_SIGHTED,SUCTION_VORTICES,PRECIPITATION_AMOUNT,SNOW_FALL_AMOUNT,PEAK_PRECIP_AMOUNT,PEAK_SNOW_FALL_AMOUNT,PEAK_PRECIP_PERIOD,MAX_6_HOUR_PRECIP,MAX_6_HOUR_SNOW_FALL,MAX_12_HOUR_PRECIP,MAX_12_HOUR_SNOW_FALL,MAX_24_HOUR_PRECIP,MAX_24_HOUR_SNOW_FALL,CONVECTIVE,TOTAL_DURATION,TYPE_PRECIP,SIZE_ACCOMPANYING_HAIL,POSSIBILITIES,PATH_LENGTH,MEAN_PATH_WIDTH,MAX_PATH_WIDTH,MAX_VERTICAL_DEVELOP,DIRECTION_MOVEMENT,SNOW_HAZARDS,MEAN_HEIGHT_SNOW_CORNICES,MAX_HEIGHT_SNOW_CORNICES,ICE_HAZARDS,THICKNESS_ICE_COVER,THICKNESS_RIME_COVER,AVALANCHE_TYPE,AVALANCHE_FLOW_TYPE,SNOW_MASS_TYPE,AVALANCHE_SIZE,AVALANCHE_TRIGGER,ELEVATION_START,ELEVATION_DIFFERENCE,LIGHTNING_DAMAGE_TO,PEAK_CURRENT,POLARITY,EXCEPT_ELEC_PHENOM,PROPERTY_DAMAGE,CROP_FOREST_DAMAGE,TOTAL_DAMAGE,NO_INJURED,NO_KILLED,EVENT_DESCRIPTION,PATH_START_LATITUDE,PATH_START_LONGITUDE,PATH_START_DATETIME,PATH_END_LATITUDE,PATH_END_LONGITUDE,PATH_END_DATETIME,EXT_URL,REFERENCE,IMPACTS,CREATOR_ID,REVISOR_ID,LINK_ORG,LINK_ID,DELETED
"21107","QC1","EYEWTN","Gabriel Strommer (ESWD management)","","","","2","ESSL","2024-07-12 17:05:00","2024-07-13 10:11:40","2024-07-13 10:13:23","5M","AT","Vorarlberg","Rankweil","","","","47.273","9.647","3KM","","","","HAIL","","2","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","multiple reports of 1-2 cm hail","","","","","","","","MeteoSwiss App, date of access: 13 Jul 2024. RAD.","","Gabriel","Gabriel","ESSL","21107","N"
"21106","QC1","EYEWTN,EVTPHOTO","Gabriel Strommer (ESWD management)","","","","4","ESSL","2024-07-12 17:02:00","2024-07-13 10:04:35","2024-07-13 10:09:46","5M","AT","Vorarlberg","Feldkirch","","","","47.250","9.605","3KM","","","","HAIL","","2.5","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","multiple reports of hail >= 2 cm","","","","","","","","MeteoSwiss App, date of access: 13 Jul 2024. RAD.","","Gabriel","Gabriel","ESSL","21106","N"
"21105","QC1","EYEWTN,EVTPHOTO","Gabriel Strommer (ESWD management)","","","","1","ESSL","2024-07-12 17:00:00","2024-07-13 10:00:38","2024-07-13 10:00:38","5M","AT","Vorarlberg","Nofels","","","","47.258","9.566","1KM","","","","HAIL","","2.5","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","multiple reports of hail >= 2 cm","","","","","","","","MeteoSwiss App, date of access: 13 Jul 2024. RAD.","","Gabriel","Gabriel","ESSL","21105","N"
"21104","QC1","EYEWTN,EVTPHOTO","Gabriel Strommer (ESWD management)","","","","3","ESSL","2024-07-12 17:00:00","2024-07-13 09:53:18","2024-07-13 09:54:49","5M","AT","Vorarlberg","Bangs","","","","47.268","9.545","1KM","","","","HAIL","","3","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","multiple reports of 2-3 cm hail","","","","","","","","MeteoSwiss App, date of access: 13 Jul 2024. RAD.","","Gabriel","Gabriel","ESSL","21104","N"
"21103","QC1","EYEWTN","Gabriel Strommer (ESWD management)","","","","1","ESSL","2024-07-12 16:33:00","2024-07-13 09:46:05","2024-07-13 09:46:05","5M","AT","Vorarlberg","Wolfurt","","","","47.467","9.750","3KM","","","","HAIL","","2","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","multiple reports of 1-2 cm hail","","","","","","","","MeteoSwiss App, date of access: 13 Jul 2024. RAD.","","Gabriel","Gabriel","ESSL","21103","N"
"21111","QC1","NWSP,WWW","Gabriel Strommer (ESWD management)","","","","3","ESSL","2024-07-12 16:30:00","2024-07-13 16:00:05","2024-07-13 16:47:16","15M","AT","Vorarlberg","Bregenz - Region","","","","47.490","9.745","5KM","","","","HAIL","","","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","very large damage to agricultural areas reported","","","","","","","https://vorarlberg.orf.at/stories/3264941/","Unwetter: Millionenschaden in Landwirtschaft, ORF Vorarlberg, 13 Jul 2024. RAD.","A1","Gabriel","Gabriel","ESSL","21111","N"
"21102","QC1","EYEWTN","Gabriel Strommer (ESWD management)","","","","2","ESSL","2024-07-12 16:30:00","2024-07-13 09:42:00","2024-07-13 09:42:40","5M","AT","Vorarlberg","Lauterach","","","","47.475","9.730","3KM","","","","HAIL","","3","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","multiple reports of 2-3 cm hail","","","","","","","","MeteoSwiss App, date of access: 13 Jul 2024. RAD.","A1","Gabriel","Gabriel","ESSL","21102","N"
"21101","QC1","EYEWTN","Gabriel Strommer (ESWD management)","","","","3","ESSL","2024-07-12 16:27:00","2024-07-13 09:33:34","2024-07-13 09:36:11","5M","AT","Vorarlberg","Hard","","","","47.487","9.687","3KM","","","","HAIL","","2","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","multiple reports of 1-2 cm hail","","","","","","","","MeteoSwiss App, date of access: 13 Jul 2024. RAD.","","Gabriel","Gabriel","ESSL","21101","N"
"21110","QC1","NWSP,WWW","Gabriel Strommer (ESWD management)","","","","1","ESSL","2024-07-12 16:25:00","2024-07-13 15:56:06","2024-07-13 15:56:06","15M","AT","Vorarlberg","Fußach - Region","","","","47.483","9.667","5KM","","","","HAIL","","","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","very large damage to agricultural areas reported","","","","","","","https://vorarlberg.orf.at/stories/3264941/","Unwetter: Millionenschaden in Landwirtschaft, ORF Vorarlberg, 13 Jul 2024. RAD.","A1","Gabriel","Gabriel","ESSL","21110","N"
"21109","QC1","NWSP,WWW","Gabriel Strommer (ESWD management)","","","","2","ESSL","2024-07-12 16:25:00","2024-07-13 15:55:15","2024-07-13 15:57:19","15M","AT","Vorarlberg","Lustenau - Region","","","","47.425","9.655","5KM","","","","HAIL","","","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","very large damage to agricultural areas reported","","","","","","","https://vorarlberg.orf.at/stories/3264941/","Unwetter: Millionenschaden in Landwirtschaft, ORF Vorarlberg, 13 Jul 2024. RAD.","A1","Gabriel","Gabriel","ESSL","21109","N"
"21100","QC1","EYEWTN,EVTPHOTO","Gabriel Strommer (ESWD management)","","","","3","ESSL","2024-07-12 16:25:00","2024-07-13 09:29:31","2024-07-13 09:30:58","5M","AT","Vorarlberg","Lustenau","","","","47.433","9.660","3KM","","","","HAIL","","3","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","multiple reports of 2-3 cm hail","","","","","","","","MeteoSwiss App, date of access: 13 Jul 2024. RAD.","A1","Gabriel","Gabriel","ESSL","21100","N"
"21171","QC0+","EYEWTN","EWOB Upgrade","","ESSL","ESSL","2","ESSL","2024-07-12 15:13:00","2024-07-16 09:00:03","2024-07-18 21:21:05","5M","AT","","Frohnleiten","","","","47.272","15.321","3KM","","","","HAIL","","2","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","[2cm]","","","","","","","","","","EWOBUpgrade","Gabriel","","","N"
"21097","QC1","WWW,EVTPHOTO","Gabriel Strommer (ESWD management)","","","","2","ESSL","2024-07-12 15:10:00","2024-07-13 09:01:30","2024-07-13 09:02:14","15M","AT","Steiermark","Frohnleiten","","","","47.270","15.323","5KM","","","","HAIL","","2","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","https://www.facebook.com/100034428919687/videos/3915219708706960/?idorvanity=204991959677320 https://www.facebook.com/photo/?fbid=8228222280535307&set=pcb.2706654782844346","User report via UWÖ - Unwetter Österreich (on Facebook), 12 Jul 2024. RAD.","","Gabriel","Gabriel","ESSL","21097","N"
"21172","QC0+","EYEWTN","EWOB Upgrade","","ESSL","ESSL","2","ESSL","2024-07-12 15:00:00","2024-07-16 09:00:03","2024-07-18 21:38:03","5M","AT","","Pernegg an der Mur","","","","47.359","15.346","3KM","","","","HAIL","","2","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","[2cm]","","","","","","","","","","EWOBUpgrade","Gabriel","","","N"
"21094","QC1","EYEWTN,EVTPHOTO,SPTR","Johannes Kahr (Skywarn Austria)","","Skywarn Austria","AT2034TSN","1","ESSL","2024-07-12 15:00:00","2024-07-13 07:38:06","2024-07-13 07:38:06","5M","AT","Steiermark","Pernegg an der Mur","","","","47.350","15.333","3KM","","","","HAIL","","4","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","Ahead of a squall line, a strong isolated storm formed, bringing strong winds and large hail up to 4 cm in diameter.    Vorlaufend einer Böenfront bildete sich eine kräftige Gewitterzelle, die Sturmböen und Hagel bis 4 cm Durchmesser brachte.","","","","","","","https://www.skywarn.at/forum/viewtopic.php?p=443522#p443522","Skywarn Austria, 13 Jul 2024.","","SkywarnAT","SkywarnAT","ESSL","21094","N"
"21159","QC1","EYEWTN,EVTPHOTO","EWOB Upgrade","","ESSL","ESSL","2","ESSL","2024-07-12 14:40:00","2024-07-16 08:40:04","2024-07-18 21:53:07","5M","AT","","Königsbrunn am Wagram","","","","48.394","15.919","3KM","","","","HAIL","","3","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","[3cm]","","","","","","","https://skywarn-cdn.wetterkameras.at/file/weatherreporter/a8ae34d1-9e2b-4f66-9d0e-21193b5ffb0a.jpeg","","","EWOBUpgrade","Gabriel","","","N"
"21124","QC1","EVTPHOTO","Gerald Knapp (Skywarn Austria)","","Skywarn Austria","","1","ESSL","2024-07-12 14:10:00","2024-07-14 11:40:39","2024-07-14 11:40:39","15M","AT","Kärnten","Friesach","","","","46.955","14.406","3KM","","","","HAIL","","4","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","Large hail up to 4 cm, time based on radar ","","","","","","","https://www.facebook.com/share/p/6HhPoHyCooe5DJB9/ ","User reports via 5 Minuten Kärnten (on Facebook), 12 Jul 2024","","SkywarnAT","SkywarnAT","ESSL","21124","N"
"21092","QC1","EYEWTN,WWW,EVTPHOTO","Gabriel Strommer (ESWD management)","","","","4","ESSL","2024-07-12 14:10:00","2024-07-12 21:55:39","2024-07-13 09:13:13","15M","AT","Niederösterreich","Furth bei Göttweig","","","","48.377","15.613","3KM","","","","HAIL","","3","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","https://www.facebook.com/photo.php?fbid=7706510829465961&set=p.7706510829465961&type=3 https://www.facebook.com/photo/?fbid=2378373445687131&set=gm.2706611046182053&idorvanity=204991959677320","User report via Skywarn Austria - Aktuelle Wetterwarnungen für Österreich (on Facebook), 12 Jul 2024. User report via UWÖ - Unwetter Österreich (on Facebook), 12 Jul 2024. RAD.","","Gabriel","Gabriel","ESSL","21092","N"
"21090","QC1","EYEWTN,WWW,EVTPHOTO","Gabriel Strommer (ESWD management)","","","","4","ESSL","2024-07-12 14:10:00","2024-07-12 21:34:49","2024-07-13 09:10:44","15M","AT","Niederösterreich","Krems an der Donau","","","","48.400","15.610","5KM","","","","HAIL","","3.5","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","https://www.facebook.com/photo.php?fbid=8271070232904762&set=p.8271070232904762&type=3","User report (on Facebook), 12 Jul 2024. RAD.","","Gabriel","Gabriel","ESSL","21090","N"
"21139","QC1","NWSP,WWW","Gabriel Strommer (ESWD management)","","","","2","ESSL","2024-07-12 13:50:00","2024-07-15 10:43:52","2024-07-15 10:47:29","30M","AT","Niederösterreich","Pfaffenschlag bei Waidhofen an der Thaya","","","","48.840","15.190","3KM","","","","HAIL","","2.5","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","2-3 cm","","","","","","","https://kurier.at/chronik/oesterreich/ueberschwemmungen-murenabgaenge-unwetter-steiermark-kaernten-feuerwehr/402923940","Nach heftigen Unwetter in NÖ: Feuerwehr rückte zu 360 Einsätzen aus, Kurier, 13 Jul 2024. RAD.","","Gabriel","Gabriel","ESSL","21139","N"
